ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000114349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000114353	3	1	5	4	2	4	2	3	2	3	3	4	3	5	3	1	3	2	1
ENSG00000114654	3	3	2	0	10	12	6	0	12	2	2	0	11	11	1	9	2	1	9
ENSG00000114771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000114779	10	8	9	12	11	9	10	8	0	7	9	14	9	10	9	5	11	6	8
ENSG00000114786	8	7	9	8	11	8	10	10	0	6	9	13	10	10	9	5	11	5	7
ENSG00000114861	28	25	17	27	21	43	26	15	30	32	11	7	14	28	28	25	29	30	28
ENSG00000114993	13	8	17	17	12	15	12	18	0	0	13	9	0	21	17	13	22	11	14
ENSG00000115274	3	3	4	4	4	3	2	2	6	1	2	5	6	6	4	1	5	5	6
ENSG00000115275	12	4	12	23	12	20	12	13	14	11	8	12	16	15	11	8	16	9	11
ENSG00000115282	13	4	15	20	10	22	10	15	18	14	11	15	16	18	13	9	17	8	14
ENSG00000115289	11	4	12	16	9	14	9	11	0	12	9	13	14	14	12	8	16	9	13
ENSG00000115297	5	0	0	1	0	0	6	0	0	9	7	10	0	0	0	0	0	0	1
ENSG00000115307	16	6	16	25	12	24	12	18	22	15	9	19	19	21	17	12	21	11	18
ENSG00000115317	16	6	16	25	12	24	12	18	22	15	9	19	19	21	17	12	21	11	18
ENSG00000115694	3	1	4	10	5	5	4	6	5	3	0	7	6	8	6	5	6	5	6
ENSG00000115738	12	11	29	28	29	22	13	20	26	19	18	18	27	28	6	23	21	12	14
ENSG00000116030	4	2	1	2	0	2	3	3	4	1	0	0	4	1	0	2	4	6	2
ENSG00000116062	14	9	16	13	15	13	11	16	8	9	12	7	11	9	6	10	7	3	6
ENSG00000116096	8	6	0	8	10	10	8	11	0	5	0	7	13	17	11	7	11	5	7
ENSG00000116254	18	0	0	0	9	8	14	0	0	13	16	17	0	0	0	7	0	5	0
ENSG00000116785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116833	9	8	0	3	6	9	6	1	0	8	11	3	1	3	4	1	7	5	3
ENSG00000117013	17	0	0	17	14	20	13	16	13	20	20	21	0	21	12	13	24	18	10
ENSG00000117118	21	7	27	38	22	24	19	32	33	22	24	26	27	26	9	13	15	11	4
