gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000162923	7	7	5	9	7	3	9	4	8	9	8	17	10	11	10	10	9	18	12	5	13	14	6	5	14	11	11	14	12	9	11	15	12	12	4	14	9	13	11	10	7	4	9	10	10	13	14	14	7	9	12	12	10
ENSG00000162924	2	4	7	5	2	5	3	6	2	7	15	20	16	18	20	11	10	6	7	8	7	14	3	3	5	13	10	6	6	8	13	5	6	6	6	8	7	3	11	16	18	13	5	5	3	3	16	13	10	4	9	25	4
ENSG00000162927	4	4	3	5	3	2	7	3	6	7	8	4	4	6	10	6	6	8	6	6	4	8	4	4	4	8	7	3	8	3	5	6	3	6	8	5	10	6	4	12	5	9	7	6	8	8	5	9	10	7	7	11	10
ENSG00000162928	4	4	3	5	3	2	7	3	6	7	8	4	4	6	10	6	6	8	6	6	4	8	4	4	4	8	7	3	8	3	5	6	3	6	8	5	10	6	4	12	5	9	7	6	8	8	5	9	10	7	7	11	10
ENSG00000162929	4	3	1	5	3	2	5	4	4	3	4	5	2	3	2	4	5	3	3	3	4	4	2	5	2	4	3	4	6	3	2	4	3	2	3	5	6	6	4	8	3	5	4	4	3	3	4	3	3	2	6	1	2
ENSG00000162944	6	9	2	8	2	3	7	9	9	1	0	0	0	0	0	1	0	4	5	1	4	10	5	6	5	1	1	8	9	5	7	3	6	1	0	7	1	3	0	2	0	1	1	0	3	5	4	0	0	3	6	2	5
ENSG00000162946	6	6	5	9	5	2	8	5	5	2	15	16	10	18	8	11	8	13	17	10	9	14	3	8	13	5	3	4	11	12	11	16	4	10	1	16	4	9	4	8	4	0	5	2	16	11	6	2	15	6	13	10	10
ENSG00000162949	2	7	2	0	1	1	0	3	9	0	2	0	0	0	1	2	2	0	1	1	0	0	3	2	10	1	2	3	4	1	4	3	7	3	5	0	5	0	4	4	0	0	2	2	1	1	0	0	3	0	3	0	0
ENSG00000162951	12	16	2	3	14	12	0	17	16	0	0	0	0	0	0	8	5	3	0	2	2	7	19	17	20	0	1	16	14	3	3	1	12	0	1	1	0	1	1	2	0	0	2	0	1	3	0	2	0	2	0	0	1
ENSG00000162959	2	6	7	8	7	4	7	4	2	7	8	9	5	19	9	5	7	9	8	10	4	9	3	2	8	8	6	10	13	8	6	24	9	7	3	4	5	8	11	14	11	4	9	6	5	8	6	13	7	9	9	11	7
ENSG00000162961	3	3	3	2	1	2	5	2	2	2	1	3	2	7	1	2	1	6	5	4	4	3	1	2	3	3	5	3	1	1	3	3	4	3	1	3	3	6	5	8	2	3	5	3	3	2	2	8	1	3	4	4	6
ENSG00000162971	4	7	3	6	2	4	6	6	4	4	3	5	5	7	1	4	6	7	10	4	10	12	5	7	3	7	11	6	4	5	6	6	4	3	3	2	5	3	8	7	5	5	7	6	11	12	6	8	3	3	5	5	4
ENSG00000162972	4	7	3	6	2	4	6	6	4	4	3	5	5	7	1	4	6	7	10	4	10	11	5	7	3	7	11	6	4	5	6	6	4	3	3	2	5	3	8	7	5	5	7	6	10	11	6	8	3	3	5	5	4
ENSG00000162975	15	7	3	9	7	9	7	16	11	7	2	1	0	0	1	4	3	12	8	7	5	5	10	14	5	2	1	5	10	4	4	6	4	16	3	3	3	3	5	10	1	5	10	4	7	10	5	1	0	7	10	5	6
ENSG00000162980	6	8	8	5	6	4	4	6	6	6	6	7	6	11	7	7	7	5	5	6	9	8	9	10	13	15	11	6	10	9	7	3	4	6	2	8	3	6	8	3	10	3	7	4	10	7	12	9	7	4	5	4	6
ENSG00000162981	9	6	5	3	8	9	3	10	7	9	0	0	0	0	0	3	2	5	5	9	2	9	5	10	6	26	22	11	10	10	12	14	10	3	8	9	8	7	19	6	0	0	5	8	7	9	0	0	0	8	6	5	8
ENSG00000162989	8	7	1	0	2	5	0	7	12	1	0	0	1	0	0	5	5	6	0	0	0	2	12	13	9	14	12	7	7	5	8	0	14	0	3	0	4	0	21	1	0	0	1	0	0	1	0	0	0	0	0	1	0
ENSG00000162992	7	7	6	3	16	14	2	18	9	2	2	12	7	1	1	9	5	7	4	5	7	3	19	30	1	7	1	11	3	2	2	8	7	4	0	1	3	1	3	1	2	1	1	1	1	3	1	1	4	2	2	1	3
ENSG00000162994	8	14	6	7	5	4	4	12	8	4	9	11	8	19	7	8	9	14	12	4	6	16	4	6	10	9	7	9	12	7	6	6	7	9	3	13	7	10	9	14	10	5	6	5	4	5	3	15	8	6	7	17	8
ENSG00000162998	11	12	6	8	7	5	3	11	8	2	0	0	0	0	0	3	2	3	6	1	5	7	9	9	5	7	4	8	7	8	5	6	7	8	2	8	3	4	5	2	0	0	5	2	6	5	2	2	0	7	5	0	4
ENSG00000162999	7	9	2	6	5	5	7	9	8	4	4	4	3	2	4	6	6	9	9	7	5	5	3	4	5	4	6	4	3	2	7	5	3	3	10	5	3	3	8	9	2	4	7	4	10	10	8	11	3	6	11	6	6
ENSG00000163001	7	5	6	6	4	4	5	8	5	6	6	6	7	10	6	7	7	8	8	6	7	7	8	6	5	5	6	4	3	4	6	7	5	6	5	5	5	4	8	9	4	5	5	6	5	4	5	7	3	2	8	3	5
ENSG00000163002	2	7	3	5	2	3	3	3	5	3	4	3	3	5	3	4	3	7	6	3	2	7	3	4	1	6	4	5	1	1	3	6	3	4	2	3	3	3	2	7	3	2	2	3	3	6	4	9	2	2	3	3	5
ENSG00000163006	2	2	2	2	2	1	5	3	3	1	2	8	7	7	3	2	3	4	4	2	3	2	6	5	1	4	4	4	5	2	2	5	3	4	2	5	2	3	2	2	4	2	3	1	5	5	6	2	3	5	3	2	5
ENSG00000163009	10	13	6	12	5	8	10	9	10	9	7	7	10	16	10	10	13	18	15	12	11	8	10	12	14	18	13	12	10	13	13	8	21	16	7	8	7	20	20	26	14	11	7	5	7	14	9	19	4	8	10	12	8
ENSG00000163012	2	4	3	2	3	1	5	4	2	3	3	0	0	0	0	5	3	5	6	4	5	4	6	7	6	2	0	3	6	5	7	13	4	2	2	4	5	4	0	2	2	1	2	3	8	6	8	1	3	5	7	3	5
ENSG00000163013	16	11	6	5	16	10	8	19	20	9	5	12	9	16	8	12	17	20	15	12	6	12	17	19	6	9	3	13	7	3	1	9	14	12	2	3	5	3	8	21	11	7	13	7	8	11	1	11	7	7	5	8	4
ENSG00000163017	4	2	0	4	1	1	8	4	2	2	2	3	2	7	5	4	4	9	5	2	8	0	1	0	1	4	0	2	2	6	4	5	9	7	3	7	1	3	4	5	5	1	4	2	4	3	0	3	3	6	7	4	5
ENSG00000163026	7	7	3	7	5	6	4	7	8	3	4	4	3	11	5	3	5	10	9	8	7	11	6	6	8	5	3	8	5	4	7	11	8	5	2	4	2	4	8	14	4	6	7	3	4	8	5	9	5	4	6	5	4
ENSG00000163029	7	8	3	10	9	4	8	5	7	7	7	6	7	6	4	11	10	8	13	9	10	12	4	6	12	12	6	5	8	16	14	2	5	3	3	6	4	7	10	16	11	6	7	6	14	20	12	13	6	8	9	8	9
ENSG00000163032	12	7	5	7	9	6	7	15	18	11	0	1	1	0	0	5	4	8	6	7	5	9	8	11	6	10	7	10	3	3	8	10	4	4	5	5	5	4	1	10	1	0	13	13	3	2	1	10	0	9	8	11	9
ENSG00000163040	7	8	1	5	7	4	5	9	12	2	2	6	6	14	5	7	5	7	7	3	4	11	2	7	15	2	2	10	7	4	3	8	5	6	1	7	3	4	2	5	7	0	12	4	2	7	2	4	2	4	5	6	4
